Código Interno,Regional,Escola,1º Simulado: Participação (%),1º Simulado: Nota,1º Teste de Redação: Participação (%),1º Teste de Redação: Nota,2º Teste de Redação: Participação (%),2º Teste de Redação: Nota,2º Simulado: Participação (%),2º Simulado: Nota,3º Teste de Redação: Participação (%),3º Teste de Redação: Nota,4º Teste de Redação: Participação (%),4º Teste de Redação: Nota,Objetivas - 1º Simulado: Participação (%),Objetivas - 1º Simulado: Acertos (%),Objetivas - 2º Simulado: Participação (%),Objetivas - 2º Simulado: Acertos (%)
25670,METROPOLITANA II,CE AUGUSTO CEZÁRIO DIAZ ANDRÉ,"86,75%","311,00","62,25%","442,78","74,17%","478,37","54,97%","418,38","63,25%","512,04","63,91%","516,84","86,75%","24,20%","54,97%",----
25671,METROPOLITANA II,CE CAPITÃO OSWALDO ORNELLAS,"84,08%","210,36","62,69%","418,21","64,18%","406,61","66,67%","248,62","55,72%","322,52","56,72%","324,60","84,08%","19,74%","66,67%",----
25672,METROPOLITANA II,CE COMENDADOR VALENTIM DOS SANTOS DINIZ,"85,71%","435,38","82,42%","489,07","80,22%","524,38","82,42%","479,47","70,33%","524,38","75,82%","535,07","85,71%","29,69%","82,42%",----
25673,METROPOLITANA II,CE CORONEL FRANCISCO LIMA,"96,99%","255,59","84,96%","322,16","76,69%","350,50","68,42%","289,44","72,18%","408,75","75,19%","317,11","96,99%","21,92%","68,42%",----
25674,METROPOLITANA II,CE CORONEL JOAO TARCISIO BUENO,"70,34%","151,33","68,64%","330,37","48,92%","371,77","64,96%","314,28","52,52%","334,93","39,57%","367,39","70,34%","22,15%","64,96%",----
25675,METROPOLITANA II,CE CORONEL PM MARCUS JARDIM,"95,52%","449,38","88,81%","542,86","86,57%","572,76","89,55%","522,00","84,33%","586,19","89,55%","563,00","95,52%","28,50%","89,55%",----
25676,METROPOLITANA II,CE CORONEL SERRADO,"58,33%","152,01","59,26%","344,38","49,18%","401,31","48,08%","289,46","38,52%","385,88","33,61%","387,07","58,33%","20,45%","48,08%",----
25677,METROPOLITANA II,CE DESEMBARGADOR FERREIRA PINTO,"60,00%","218,61","80,00%","400,93","71,76%","391,93","78,24%","320,00","81,18%","451,43","70,00%","471,79","60,00%","24,96%","78,24%",----
25678,METROPOLITANA II,CE DOM ANTÔNIO DE ALMEIDA MORAES JUNIOR,"87,84%","434,72","0,00%",----,"81,08%","397,97","81,08%","250,77","82,43%","470,16","74,32%","277,04","87,84%","22,06%","81,08%",----
25679,METROPOLITANA II,CE DÔRVAL FERREIRA DA CUNHA,"72,44%","250,00","55,13%","389,05","73,08%","467,72","62,18%",----,"73,08%","492,11","49,36%","412,63","72,44%","26,48%","62,18%",----
25680,METROPOLITANA II,CE DOUTOR ADINO XAVIER,"65,32%",----,"70,53%","369,69","46,63%","377,26","47,60%","284,81","51,83%","393,74","43,20%","401,77","65,32%","18,88%","47,60%",----
25681,METROPOLITANA II,CE DOUTOR ARMANDO SA COUTO,"87,01%","374,55","74,03%","449,29","84,42%","472,50","87,01%","380,90","88,31%","533,53","85,71%","529,23","87,01%","27,27%","87,01%",----
25682,METROPOLITANA II,CE DOUTOR HUMBERTO SOEIRO DE CARVALHO,"54,55%","362,35","64,77%","421,75","65,91%","458,62","64,77%","340,71","55,68%","428,57","65,91%","428,28","54,55%","21,78%","64,77%",----
25651,METROPOLITANA II,CE DOUTOR MOACYR MEIRELLES PADILHA,"51,64%","174,26","40,16%","330,53","61,89%","427,76","52,87%","334,40","51,23%","397,38","46,72%","409,09","51,64%","22,91%","52,87%",----
25683,METROPOLITANA II,CE DOUTOR RODOLPHO SIQUEIRA,"97,25%","294,46","69,78%","424,57","48,90%","453,03","70,33%","400,00","70,88%","416,69","70,88%","405,04","97,25%","20,96%","70,33%",----
25684,METROPOLITANA II,CE ELIZA MARIA DUTRA,"74,24%","186,54","65,15%","334,79","47,49%","374,61","69,80%","326,09","53,07%","400,86","57,54%","364,24","74,24%","20,92%","69,80%",----
25652,METROPOLITANA II,CE FRANCESCA CAREY,"88,89%","196,25","68,06%","312,87","48,84%","384,84","58,02%","278,92","62,79%","317,77","53,49%","343,72","88,89%","21,51%","58,02%",----
25685,METROPOLITANA II,CE FREDERICO AZEVEDO,"70,79%","211,64","50,94%","336,11","47,29%","421,91","62,14%","274,57","40,96%","363,53","48,80%","375,76","70,79%","23,18%","62,14%",----
25686,METROPOLITANA II,CE ISMAEL BRANCO,"67,50%","145,53","53,75%","316,77","45,97%","364,60","52,13%","343,85","45,97%","351,73","38,86%","380,49","67,50%","17,38%","52,13%",----
25653,METROPOLITANA II,CE JOVINA AMARAL DE OLIVEIRA,"100,00%","233,85","80,77%","380,95","92,31%","465,00","92,31%","436,52","96,15%","489,60","88,46%","502,61","100,00%","25,19%","92,31%",----
25687,METROPOLITANA II,CE LAURO CORREA,"72,78%","213,85","63,91%","418,73","47,42%","425,66","56,18%","378,84","65,46%","443,24","63,40%","412,51","72,78%","24,35%","56,18%",----
25688,METROPOLITANA II,CE MARIO TAMBORINDEGUY,"43,18%",----,"52,27%","368,17","40,17%","388,31","62,71%","305,45","41,03%","365,11","33,33%","344,61","43,18%","23,35%","62,71%",----
25689,METROPOLITANA II,CE MAUA,"98,62%","315,80","73,10%","425,28","69,66%","469,70","75,17%","422,32","78,62%","494,87","68,28%","477,17","98,62%","19,55%","75,17%",----
25690,METROPOLITANA II,CE MELCHIADES PICANÇO,"94,52%","165,50","98,63%","216,24","46,86%","337,88","60,37%","234,53","42,86%",----,"52,00%","300,83","94,52%","16,07%","60,37%",----
25691,METROPOLITANA II,CE MINISTRO JOSE DE MOURA E SILVA,"80,73%","330,91","69,72%","541,69","44,07%","511,79","64,91%","536,04","34,46%",----,"32,20%",----,"80,73%","23,08%","64,91%",----
25692,METROPOLITANA II,CE MONSENHOR BARENCO COELHO,"65,38%","169,52","45,19%",----,"44,31%","324,33","63,38%","233,64","48,24%","418,54","53,73%","415,56","65,38%","22,37%","63,38%",----
25693,METROPOLITANA II,CE NILO PEÇANHA,"79,93%","324,15","71,25%","370,67","75,05%","427,92","62,21%","332,89","66,73%","443,80","65,28%","457,95","79,93%","21,88%","62,21%",----
25694,METROPOLITANA II,CE PADRE MANUEL DA NÓBREGA,"97,50%","224,96","67,50%","384,30","66,67%","448,61","75,83%","401,41","72,50%","434,94","61,67%","430,68","97,50%","20,18%","75,83%",----
25695,METROPOLITANA II,CE PANDIA CALOGERAS,"94,12%","205,44","44,12%","416,41","43,12%",----,"75,29%","340,76","45,68%","436,43","43,61%","471,25","94,12%","14,81%","75,29%",----
25696,METROPOLITANA II,CE PAULINO PINHEIRO BAPTISTA,"58,04%","218,05","62,94%","308,76","55,94%","381,27","55,94%","246,15","61,54%","327,53","60,84%","365,18","58,04%","21,27%","55,94%",----
25697,METROPOLITANA II,CE PROFESSOR FRANCISCO DE PAULA ACHILLES,"82,35%","263,81","80,39%","352,20","0,00%",----,"72,55%","400,00","80,39%","496,59","88,24%","481,78","82,35%","22,77%","72,55%",----
25698,METROPOLITANA II,CE PROFESSORA ABIGAIL CARDOSO,"60,00%","217,78","66,67%","360,00","24,00%","0,00","80,00%","93,33","28,00%","422,86","32,00%","315,00","60,00%","21,34%","80,00%","18,33%"
25699,METROPOLITANA II,CE PROFESSORA ADELIA MARTINS,"78,38%","182,76","71,62%","342,78","48,54%","416,80","57,53%",----,"41,75%","366,02","56,31%","372,42","78,38%","21,86%","57,53%",----
25700,METROPOLITANA II,CE PROFESSORA ANTONIETA PALMEIRA,"78,05%","262,56","48,08%","406,41","50,65%","358,44","82,85%","206,86","0,33%",----,"0,00%",----,"78,05%","22,16%","82,85%",----
25701,METROPOLITANA II,CE PROFESSORA DALILA DE OLIVEIRA COSTA,"87,97%","184,53","96,84%","247,11","62,66%","407,08","64,56%","226,14","69,62%","325,19","70,89%","394,55","87,97%","16,39%","64,56%",----
25654,METROPOLITANA II,CE PROFESSORA HILKA DE ARAÚJO PEÇANHA,"89,07%","341,98","88,52%","427,41","83,06%","482,12","78,69%","395,68","79,78%","469,86","81,42%","453,33","89,07%","26,84%","78,69%",----
25702,METROPOLITANA II,CE PROFESSORA LUIZA HONORIA DO PRADO,"81,82%","22,22","54,55%","326,67","26,32%","260,00","74,07%","354,00","31,58%","350,00","23,68%","320,00","81,82%","20,94%","74,07%","19,17%"
25655,METROPOLITANA II,CE PROFESSORA MARIA INOCÊNCIA FERREIRA,"71,43%","229,82","58,39%","391,49","71,43%","427,96","66,46%","365,83","57,76%","424,52","52,80%","439,06","71,43%","23,05%","66,46%",----
25703,METROPOLITANA II,CE PROFESSORA ODYSSEA SILVEIRA DE SIQUEIRA,"76,92%","311,04","64,84%","460,69","65,93%","445,33","63,74%","361,38","69,23%","473,02","52,75%","473,33","76,92%","24,92%","63,74%",----
25656,METROPOLITANA II,CE SALVADOR DE MENDONÇA,"99,03%","251,07","74,19%","442,30","81,61%","447,13","73,23%","388,70","67,74%","440,39","71,94%","448,11","99,03%","19,85%","73,23%",----
25704,METROPOLITANA II,CE SANTOS DIAS,"80,69%","335,21","59,90%","435,04","63,86%","503,57","68,32%","456,25","70,79%","468,53","61,39%","479,03","80,69%","26,04%","68,32%",----
25705,METROPOLITANA II,CE SUBTENENTE PM MARCO ANTONIO GRIPP,"96,23%","408,63","94,34%","485,60","88,68%","518,30","92,45%","482,45","92,45%","503,67","92,45%","554,29","96,23%","28,51%","92,45%",----
25706,METROPOLITANA II,CE TRASILBO FILGUEIRAS,"63,71%","168,39","63,44%","285,94","54,33%","385,00","38,02%","231,33","48,71%","363,29","57,85%","399,81","63,71%","18,51%","38,02%",----
25707,METROPOLITANA II,CE VILA GUARANI,"57,78%","89,23","57,78%","303,08","66,67%","382,67","73,33%","224,00","55,56%","380,00","57,78%","403,08","57,78%","18,98%","73,33%",----
25657,METROPOLITANA II,CE VISCONDE DE ITABORAÍ,"66,71%","292,37","41,61%","476,85","62,21%","432,70","60,82%","326,72","57,89%","371,50","61,58%","320,98","66,71%","21,34%","60,82%",----
25708,METROPOLITANA II,CE VITAL BRASIL,"100,00%","231,62","99,05%","219,57","49,61%","427,30","65,89%","317,00","72,87%","396,48","78,29%","432,40","100,00%","19,31%","65,89%",----
25709,METROPOLITANA II,CE WALTER ORLANDINE,"63,16%","369,70","60,66%","427,27","59,61%","324,36","46,58%","279,88","67,11%","319,37","57,50%","261,43","63,16%","25,48%","46,58%",----
25712,METROPOLITANA II,CIEP 050 PABLO NERUDA,"73,96%","194,37","68,75%","341,82","70,83%","361,19","58,33%","250,00","46,88%","310,91","59,38%","352,14","73,96%","23,50%","58,33%",----
25713,METROPOLITANA II,CIEP 052 PROFESSORA ROMANDA GOUVEIA GONÇALVES,"69,44%","454,40","72,22%","423,08","40,00%","472,00","55,00%","308,83","40,00%",----,"0,00%",----,"69,44%","23,65%","55,00%",----
25714,METROPOLITANA II,CIEP 121 PROFESSOR JOADELIO CODECO,"95,32%","136,93","72,51%","332,86","57,28%","374,21","67,03%","292,58","60,09%","383,02","63,38%","395,93","95,32%","15,42%","67,03%",----
25715,METROPOLITANA II,CIEP 122 ERMEZINDA DIONISIO NECCO,"64,84%","304,17","47,95%","410,90","44,90%","396,06","44,95%",----,"40,00%","410,20","31,43%","432,21","64,84%","23,53%","44,95%",----
25716,METROPOLITANA II,CIEP 126 ALMEDORINA AZEREDO,"50,00%","256,77","24,19%","306,42","45,05%","407,92","48,24%","292,03","22,52%",----,"22,52%",----,"50,00%","22,27%","48,24%",----
25659,METROPOLITANA II,CIEP 129 JOSE MARIA NANCI,"97,55%","194,77","96,08%","239,20","60,29%","357,39","62,30%","312,91","54,78%","432,40","59,56%","420,97","97,55%","17,90%","62,30%",----
25660,METROPOLITANA II,CIEP 130 DOUTOR ELIAS DE MIRANDA SARAIVA,"82,82%","306,44","67,06%","390,25","76,24%","418,00","60,47%","310,24","59,29%","440,64","63,06%","438,80","82,82%","25,10%","60,47%",----
25717,METROPOLITANA II,CIEP 238 DOUTOR ILTON FARIA DA COSTA,"95,72%","157,54","65,78%","366,02","62,39%","439,72","79,19%","295,39","69,47%","391,22","64,60%","434,94","95,72%","18,14%","79,19%",----
25718,METROPOLITANA II,CIEP 239 PROFESSORA ELZA VIANNA FIALHO,"72,13%","222,25","38,80%","419,48","50,21%","437,68","47,00%","309,97","45,99%","380,27","50,21%","406,73","72,13%","20,83%","47,00%",----
25719,METROPOLITANA II,CIEP 240 PROFESSOR HAROLDO TEIXEIRA VALLADAO,"84,09%","307,02","97,73%","330,66","71,88%","469,29","57,38%","297,24","75,00%","378,56","70,31%","370,67","84,09%","19,90%","57,38%",----
25720,METROPOLITANA II,CIEP 246 PROFESSORA ADALGISA CABRAL DE FARIA,"89,47%","117,35","57,89%","340,98","48,78%","361,27","60,66%","230,50","51,22%","344,38","50,24%","344,82","89,47%","15,75%","60,66%",----
25721,METROPOLITANA II,CIEP 248 PROFESSOR TULIO RODRIGUES PERLINGEIRO,"100,00%","200,00","70,15%","330,67","74,63%","340,00","77,61%","321,00","79,10%","358,46","76,12%","396,00","100,00%","19,00%","77,61%",----
25722,METROPOLITANA II,CIEP 249 PASTOR WALDEMAR ZARRO,"72,06%","200,55","51,01%",----,"64,98%","315,20","63,67%","226,64","51,85%","369,99","43,77%","373,17","72,06%","19,94%","63,67%",----
25744,METROPOLITANA II,CIEP 252 JOAO BAPTISTA CAFFARO,"78,57%","338,99","69,05%","425,62","68,01%","461,04","62,59%","386,58","70,19%","429,92","38,20%","366,28","78,57%","25,72%","62,59%",----
25723,METROPOLITANA II,CIEP 306 DEPUTADO DAVID QUINDERÉ,"71,70%","384,13","71,70%","418,66","55,70%","402,29","64,18%","288,37","50,63%","450,00","55,70%","410,00","71,70%","21,74%","64,18%",----
25661,METROPOLITANA II,CIEP 308 PASCOAL CARLOS MAGNO,"79,41%","195,77","59,24%","332,06","51,26%","400,21","43,04%","320,65","62,82%","364,33","57,04%","370,62","79,41%","19,63%","43,04%",----
25724,METROPOLITANA II,CIEP 309 ZUZU ANGEL - BRASIL-COLÔMBIA,"74,00%","225,41","50,00%","413,60","31,90%","445,97","64,00%","331,40","41,43%","407,82","41,43%","402,30","74,00%","22,93%","64,00%",----
25725,METROPOLITANA II,CIEP 408 SERGIO CARDOSO,"94,74%","91,11","68,42%","16,00","78,95%","237,33","47,37%","186,67","68,42%","289,23","57,89%","458,18","94,74%","12,11%","47,37%",----
25726,METROPOLITANA II,CIEP 409 PROFESSORA ALAIDE DE FIGUEREDO SANTOS,"72,83%","197,46","66,47%","350,83","58,96%","374,26","46,24%","286,49","78,61%","416,00","70,52%","450,77","72,83%","22,84%","46,24%",----
25727,METROPOLITANA II,CIEP 410 PATRÍCIA GALVÃO-PAGU,"99,10%","244,73","100,00%","399,25","100,00%","376,23","100,00%","278,87","87,39%","466,25","85,59%","476,99","99,10%","21,75%","100,00%",----
25728,METROPOLITANA II,CIEP 412 DOUTOR ZERBINI,"84,38%","342,61","65,63%","373,33","75,00%","380,00","84,38%","369,23","75,00%","320,00","68,75%","372,73","84,38%","25,98%","84,38%",----
25729,METROPOLITANA II,CIEP 413 ADAO PEREIRA NUNES BRASIL MEXICO,"83,82%",----,"100,00%","434,69","76,22%","514,83","88,15%","515,71","78,32%",----,"80,42%",----,"83,82%","30,48%","88,15%",----
25662,METROPOLITANA II,CIEP 415 MIGUEL DE CERVANTES,"86,25%","143,98","56,60%","308,39","51,71%","366,31","62,60%","341,51","35,37%",----,"37,07%",----,"86,25%","16,85%","62,60%",----
25730,METROPOLITANA II,CIEP 421 DEPUTADA CRISTINA TAVARES,"94,12%","177,33","85,29%","362,96","73,53%","416,00","85,29%","360,00","76,47%","384,62","79,41%","525,93","94,12%","21,77%","85,29%",----
25731,METROPOLITANA II,CIEP 422 NICANOR FERREIRA NUNES,"90,91%","396,00","90,91%","484,00","86,36%","511,58","68,18%","469,33","72,73%","492,50","72,73%","457,50","90,91%","27,89%","68,18%",----
25732,METROPOLITANA II,CIEP 423 MORA GUIMARAES,"87,76%","238,14","65,31%","348,97","73,47%","371,43","85,71%","344,52","79,59%","349,47","81,63%","418,38","87,76%","23,26%","85,71%",----
25663,METROPOLITANA II,CIEP 424 PEDRO AMORIM,"84,75%","216,00","66,10%","379,59","55,70%","460,00","73,81%","366,90","49,37%","441,25","50,63%","451,00","84,75%","23,88%","73,81%",----
25664,METROPOLITANA II,CIEP 426 EDUARDO RIBEIRO DE CARVALHO,"100,00%","193,57","75,44%","416,74","75,44%","459,53","63,16%","384,00","61,40%","413,71","42,11%","450,00","100,00%","18,23%","63,16%",----
25733,METROPOLITANA II,CIEP 430 CARLOS MARIGHELLA,"78,85%","63,41","15,38%","320,00","57,69%","334,67","67,31%","198,86","63,46%","390,30","65,38%","343,53","78,85%","21,57%","67,31%",----
25734,METROPOLITANA II,CIEP 439 LUIZ GONZAGA JUNIOR - GONZAGUINHA,"96,43%","147,50","98,81%","186,50","80,95%","392,94","91,67%","302,67","83,33%","365,37","86,90%","361,13","96,43%","17,70%","91,67%",----
25735,METROPOLITANA II,CIEP 440 MAJOR JOAQUIM DE AZEVEDO COUTINHO,"86,67%","190,77","40,00%","306,67","53,33%","490,00","60,00%","226,67","53,33%","510,00","40,00%","553,33","86,67%","13,63%","60,00%",----
25665,METROPOLITANA II,CIEP 451 ELIZA ANTONIA RAINHO DIAS,"58,30%","163,11","23,89%","307,61","28,95%","349,35","36,00%","271,45","21,05%","356,51","24,81%","369,27","58,30%","20,42%","36,00%",----
25666,METROPOLITANA II,CIEP 453 DOUTOR MILTON RODRIGUES ROCHA,"65,43%","261,66","59,35%","353,97","50,27%","422,41","47,37%","322,11","54,30%","368,34","55,21%","374,45","65,43%","22,76%","47,37%",----
25736,METROPOLITANA II,CIEP 513 GEORGE SAVALLA GOMES - PALHACO CAREQUINHA,"86,96%","167,06","65,22%","342,07","63,04%","407,14","76,09%","316,00","67,39%","396,13","0,00%",----,"86,96%","24,28%","76,09%",----
25742,METROPOLITANA II,IE CLELIA NANCI,"49,21%","319,83","56,57%","423,85","54,82%","444,97","78,98%","296,39","56,22%","451,91","0,70%","350,00","49,21%","24,84%","78,98%",----
25437,METROPOLITANA III,CAIC THEOPHILO DE SOUZA PINTO,"71,14%","150,02","59,48%","298,78","52,52%",----,"63,55%","197,41","50,40%","340,45","52,52%","374,15","71,14%","22,99%","63,55%","18,09%"
25438,METROPOLITANA III,CE ACARI,"65,38%","93,33","63,46%","299,39","50,00%","380,80","73,08%","284,44","71,15%","317,84","55,77%","340,74","65,38%","21,14%","73,08%","19,59%"
25439,METROPOLITANA III,CE ADLAI STEVENSON,"57,69%","292,31","55,77%","417,93","46,15%","481,67","61,54%","318,71","46,15%","500,00","30,77%","487,50","57,69%","24,59%","61,54%","19,82%"
25440,METROPOLITANA III,CE AGRIPINO GRIECO,"89,84%","132,48","51,87%","360,83","62,57%","379,48","60,96%","231,93","51,87%","350,93","44,92%","384,29","89,84%","14,10%","60,96%","16,80%"
25441,METROPOLITANA III,CE AMAPA,"63,51%","77,44","44,59%","319,82","37,76%","387,03","78,95%","290,67","60,20%","336,95","53,06%","371,54","63,51%","21,85%","78,95%","20,06%"
25442,METROPOLITANA III,CE ANITA GARIBALDI,"77,83%","183,03","62,44%","361,44","41,06%","320,30","62,68%","361,15","45,12%","405,05","50,00%","417,18","77,83%","22,17%","62,68%","19,58%"
25443,METROPOLITANA III,CE ANTÔNIO HOUAISS,"61,48%",----,"56,42%","296,59","57,58%","301,27","54,61%","203,81","54,01%","267,46","50,62%","273,47","61,48%","20,89%","54,61%","19,66%"
25444,METROPOLITANA III,CE BAHIA,"70,39%","64,72","95,39%","163,69","44,20%","239,54","56,05%","173,52","45,68%","255,65","0,74%","253,33","70,39%","15,70%","56,05%","19,49%"
25445,METROPOLITANA III,CE BARAO DE MACAUBAS,"25,14%","189,09","18,86%","304,94","34,65%","420,74","70,59%","220,22","35,09%","345,00","42,11%","377,15","25,14%","19,82%","70,59%","18,79%"
25446,METROPOLITANA III,CE BELGICA,"66,39%","176,84","96,22%","207,21","58,40%","397,35","56,72%","179,21","48,74%","391,50","48,32%","402,96","66,39%","21,38%","56,72%","19,88%"
25447,METROPOLITANA III,CE BERNARDO DE VASCONCELOS,"66,47%","142,86","95,95%","141,09","93,64%","169,88","62,43%","156,50","50,87%","317,67","99,42%","222,09","66,47%","17,90%","62,43%","19,64%"
25448,METROPOLITANA III,CE BOLIVAR,"64,29%","148,15","47,62%","214,74","64,29%","295,38","73,81%","247,74","66,67%","362,86","57,14%","341,82","64,29%","21,28%","73,81%","19,39%"
25449,METROPOLITANA III,CE BRANT HORTA,"95,52%","180,28","97,01%","218,52","66,27%","281,45","93,94%","289,03","75,90%","252,06","59,04%","409,79","95,52%","13,49%","93,94%","16,34%"
25450,METROPOLITANA III,CE CARDEAL ARCOVERDE,"70,00%","121,33","62,22%","383,57","71,11%","361,31","58,89%","168,33","56,67%","385,60","41,11%","390,27","70,00%","21,72%","58,89%","20,15%"
25451,METROPOLITANA III,CE CENTRAL DO BRASIL,"42,01%","274,30","4,25%","424,24","31,19%","400,66","1,03%","251,43","42,27%","429,78","27,32%","369,10","42,01%","24,59%","1,03%","22,30%"
25452,METROPOLITANA III,CE CHARLES CHAPLIN,"45,45%","109,47","45,45%","364,00","36,36%","347,50","43,18%","200,00","25,00%","290,91","31,82%","382,86","45,45%","19,80%","43,18%","20,06%"
25453,METROPOLITANA III,CE CHILE,"66,88%","123,46","85,35%","262,86","70,70%","377,41","66,24%","252,44","54,14%","431,33","62,42%","420,21","66,88%","20,17%","66,24%","19,51%"
25454,METROPOLITANA III,CE CIDADE DE LISBOA,"74,31%","162,96","44,95%","291,43","46,50%","350,68","72,22%","216,38","20,38%",----,"38,85%","314,21","74,31%","19,89%","72,22%","19,53%"
25455,METROPOLITANA III,CE COMPOSITOR MANACEIA JOSE DE ANDRADE,"92,20%","121,08","97,16%","216,79","99,35%","242,78","99,67%","128,82","100,00%","162,48","99,67%","136,99","92,20%","15,16%","99,67%","12,25%"
25456,METROPOLITANA III,CE CONDE AFONSO CELSO,"73,17%","195,17","51,22%","341,46","45,12%","343,33","67,07%","345,45","56,10%","360,89","48,78%","373,00","73,17%","19,71%","67,07%","19,49%"
25457,METROPOLITANA III,CE CONDE DE AGROLONGO,"55,56%","148,21","53,70%","452,41","38,46%","396,57","59,21%","232,00","42,86%","370,25","31,87%","393,10","55,56%","20,89%","59,21%","18,43%"
25458,METROPOLITANA III,CE CONDE PEREIRA CARNEIRO,"43,09%","68,46","48,78%","320,00","30,08%","0,00","56,91%","243,45","42,28%","259,23","44,72%","350,77","43,09%","20,94%","56,91%","19,12%"
25459,METROPOLITANA III,CE CUBA,"77,61%","104,62","68,66%","304,19","74,63%","369,60","68,66%","230,70","61,19%","382,00","56,72%","332,63","77,61%","22,71%","68,66%","22,67%"
25460,METROPOLITANA III,CE CYRO MONTEIRO,"19,51%","181,33","20,73%","340,00","8,74%","357,50","43,56%","289,47","8,74%","315,00","19,67%","317,78","19,51%","18,14%","43,56%","20,24%"
25461,METROPOLITANA III,CE DEPUTADO PEDRO FERNANDES,"92,73%","111,57","87,94%","211,13","45,34%","228,65","58,04%","230,39","53,05%","399,50","54,50%","400,12","92,73%","15,66%","58,04%","19,93%"
25462,METROPOLITANA III,CE DOM HELDER CAMARA,"57,53%","175,64","56,35%","415,42","42,15%","425,82","57,01%","197,16","58,97%","417,00","47,44%","444,59","57,53%","22,71%","57,01%","19,90%"
25463,METROPOLITANA III,CE DUNSHEE DE ABRANCHES,"70,71%","145,42","62,86%","306,05","64,29%","351,01","67,86%","271,90","57,14%","368,21","59,29%","392,77","70,71%","21,84%","67,86%","17,66%"
25464,METROPOLITANA III,CE EMBAIXADOR BARROS HURTADO,"62,50%","112,59","56,25%","302,22","37,33%","297,14","61,90%","213,44","37,33%","345,72","37,33%","127,14","62,50%","22,55%","61,90%","20,43%"
25465,METROPOLITANA III,CE FRANCISCO JOBIM,"52,38%","268,59","50,00%","430,48","37,50%","445,00","51,28%","206,00","35,94%","351,31","40,63%","415,38","52,38%","22,88%","51,28%","19,92%"
25466,METROPOLITANA III,CE FRANCISCO PALHETA,"60,61%","140,00","73,74%","202,22","51,52%","400,00","61,62%","261,89","50,51%","367,35","56,57%","317,09","60,61%","23,84%","61,62%","19,72%"
25467,METROPOLITANA III,CE GENERAL OSORIO,"50,00%","44,85","34,85%","253,91","8,93%","368,00","50,00%","122,00","24,40%","307,00","25,60%","324,65","50,00%","18,93%","50,00%","17,23%"
25468,METROPOLITANA III,CE GOMES FREIRE DE ANDRADE,"71,79%","208,84","63,14%","376,67","64,52%","406,90","67,84%","283,88","61,86%","379,12","59,71%","396,21","71,79%","23,06%","67,84%","19,91%"
25469,METROPOLITANA III,CE GRACILIANO RAMOS,"46,00%","178,09","34,00%","312,94","29,58%","354,16","50,85%","380,24","25,35%","326,67","38,03%","379,26","46,00%","21,19%","50,85%","19,96%"
25470,METROPOLITANA III,CE GUADALUPE,"62,86%","103,38","55,71%","187,69","34,65%","275,43","49,38%","276,00","11,88%","450,00","27,72%","341,43","62,86%","20,68%","49,38%","19,63%"
25471,METROPOLITANA III,CE HEITOR LIRA,"68,11%","355,12","70,75%","427,25","61,34%","459,45","78,93%","370,88","60,11%","495,79","76,10%","397,42","68,11%","24,89%","78,93%","19,91%"
25472,METROPOLITANA III,CE HISPANO BRASILEIRO JOAO CABRAL DE MELO NETO,"92,53%","357,52","83,33%","506,94","94,25%","520,50","89,08%","287,58","71,26%","448,85","69,54%","348,57","92,53%","28,12%","89,08%","20,82%"
25473,METROPOLITANA III,CE ITALIA,"58,28%","120,43","53,37%","344,83","56,44%","369,57","53,37%","347,25","46,63%","373,16","46,63%","384,74","58,28%","19,18%","53,37%","22,36%"
25474,METROPOLITANA III,CE JOAO KOPKE,"67,31%","94,85","50,00%","307,31","44,12%","321,33","57,89%","138,45","35,29%","311,58","20,59%","349,39","67,31%","19,77%","57,89%","18,29%"
25475,METROPOLITANA III,CE JOAO MARQUES DOS REIS,"40,48%","230,98","41,67%","293,71","31,82%","398,86","65,88%","261,76","36,36%","329,00","40,00%","374,55","40,48%","20,33%","65,88%","20,53%"
25476,METROPOLITANA III,CE JORNALISTA RODOLFO FERNANDES,"90,37%","98,54","34,50%","285,93","37,79%","319,88","41,55%","225,83","29,32%","322,45","17,10%","384,00","90,37%","13,63%","41,55%","20,97%"
25477,METROPOLITANA III,CE JORNALISTA TIM LOPES,"68,94%","278,61","67,20%","318,44","56,41%","387,16","46,88%","366,38","35,01%","369,72","52,52%","373,44","68,94%","24,32%","46,88%","20,35%"
25478,METROPOLITANA III,CE JOSE EDUARDO DE MACEDO SOARES,"91,51%","67,08","25,47%","300,00","52,83%","262,86","63,21%","116,92","66,98%","323,38","51,89%","311,27","91,51%","16,68%","63,21%","19,76%"
25479,METROPOLITANA III,CE JOSE MARTI,"50,57%","179,53","52,87%","376,89","37,93%","396,25","47,13%","388,00","33,33%","438,62","49,43%","378,60","50,57%","20,92%","47,13%","19,00%"
25480,METROPOLITANA III,CE JOSUE DE CASTRO,"49,26%","139,66","43,38%","286,90","38,24%","391,20","33,82%","131,71","45,59%","349,68","23,53%","307,50","49,26%","20,54%","33,82%","19,19%"
25481,METROPOLITANA III,CE LAURO SODRE,"78,43%","263,70","80,39%","349,27","45,68%","345,95","74,60%","312,11","46,91%","283,16","56,79%","408,24","78,43%","20,34%","74,60%","19,06%"
25482,METROPOLITANA III,CE LEONEL AZEVEDO,"66,43%","133,87","30,00%","364,08","28,76%","455,16","21,03%",----,"27,43%","428,39","23,01%","152,31","66,43%","13,70%","21,03%","19,98%"
